Date,SPYSIM,QQQSIM,XLBSIM,XLCSIM,XLESIM,XLFSIM,XLISIM,XLKSIM,XLPSIM,ZVOLSIM,XLUSIM,XLVSIM,XLYSIM,KMLMSIM,GLDSIM,SLVSIM,SVIXSIM,TLTSIM,ZROZSIM,VXUSSIM,VTISIM,DBMFSIM,VIXSIM,GSGSIM,IEFSIM,IEISIM,SHYSIM,CASHX,CAOSSIM,FNGUSIM,MCISIM,GDESIM,BTCSIM,ETHSIM,VOOSIM,OEFSIM,MDYSIM,IJRSIM,IWMSIM,VEASIM,VWOSIM,VSSSIM,EFVSIM,VTSIM,VTVSIM,VUGSIM,VOSIM,VOESIM,VOTSIM,VBSIM,VBRSIM,VBKSIM,IWCSIM,TIPSIM,BNDSIM,REITSIM,INFLATION,RSSBSIM,UVIXSIM1,UVIXSIM2,VIXMSIM,VXZSIM,USMVSIM,MTUMSIM,EFASIM,VCITSIM,STIPSIM,LTPZSIM,NTSDSIM,UUPSIM
1885-05-21,10107.34,,,,,,,,,,,,,,,,,,,,,,,,,,,10042.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9883.44,,,,,,,,,,,,,
1885-05-22,10185.86,,,,,,,,,,,,,,,,,,,,,,,,,,,10043.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9876.01,,,,,,,,,,,,,
1885-05-25,10093.09,,,,,,,,,,,,,,,,,,,,,,,,,,,10044.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9853.72,,,,,,,,,,,,,
1885-05-26,10136.52,,,,,,,,,,,,,,,,,,,,,,,,,,,10045.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9846.29,,,,,,,,,,,,,
1885-05-27,10085.03,,,,,,,,,,,,,,,,,,,,,,,,,,,10046.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9838.85,,,,,,,,,,,,,
1885-05-28,10052.11,,,,,,,,,,,,,,,,,,,,,,,,,,,10047.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9831.42,,,,,,,,,,,,,
1885-05-29,9979.98,,,,,,,,,,,,,,,,,,,,,,,,,,,10048.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9823.99,,,,,,,,,,,,,
1885-06-01,9934.67,,,,,,,,,,,,,,,,,,,,,,,,,,,10049.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9801.45,,,,,,,,,,,,,
1885-06-02,9994.61,,,,,,,,,,,,,,,,,,,,,,,,,,,10050.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9793.77,,,,,,,,,,,,,
1885-06-03,10058.68,,,,,,,,,,,,,,,,,,,,,,,,,,,10051.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9786.09,,,,,,,,,,,,,
1885-06-04,9996.87,,,,,,,,,,,,,,,,,,,,,,,,,,,10052.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9778.41,,,,,,,,,,,,,
1885-06-05,9920.62,,,,,,,,,,,,,,,,,,,,,,,,,,,10053.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9770.73,,,,,,,,,,,,,
1885-06-08,9906.27,,,,,,,,,,,,,,,,,,,,,,,,,,,10054.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9747.7,,,,,,,,,,,,,
1885-06-09,9939.38,,,,,,,,,,,,,,,,,,,,,,,,,,,10055.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9740.02,,,,,,,,,,,,,
1885-06-10,9966.31,,,,,,,,,,,,,,,,,,,,,,,,,,,10056.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9732.34,,,,,,,,,,,,,
1885-06-11,10057.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10057.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9724.66,,,,,,,,,,,,,
1885-06-12,10108.88,,,,,,,,,,,,,,,,,,,,,,,,,,,10057.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9716.98,,,,,,,,,,,,,
1885-06-15,10199.77,,,,,,,,,,,,,,,,,,,,,,,,,,,10058.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9693.94,,,,,,,,,,,,,
1885-06-16,10166.85,,,,,,,,,,,,,,,,,,,,,,,,,,,10059.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9686.26,,,,,,,,,,,,,
1885-06-17,10169.01,,,,,,,,,,,,,,,,,,,,,,,,,,,10060.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9678.58,,,,,,,,,,,,,
1885-06-18,10231.01,,,,,,,,,,,,,,,,,,,,,,,,,,,10061.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9670.9,,,,,,,,,,,,,
1885-06-19,10306.13,,,,,,,,,,,,,,,,,,,,,,,,,,,10062.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9663.22,,,,,,,,,,,,,
1885-06-22,10258.07,,,,,,,,,,,,,,,,,,,,,,,,,,,10063.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9640.19,,,,,,,,,,,,,
1885-06-23,10239.3,,,,,,,,,,,,,,,,,,,,,,,,,,,10064.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9632.51,,,,,,,,,,,,,
1885-06-24,10352.34,,,,,,,,,,,,,,,,,,,,,,,,,,,10065.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9624.83,,,,,,,,,,,,,
1885-06-25,10291.73,,,,,,,,,,,,,,,,,,,,,,,,,,,10066.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9617.15,,,,,,,,,,,,,
1885-06-26,10222.76,,,,,,,,,,,,,,,,,,,,,,,,,,,10067.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9609.47,,,,,,,,,,,,,
1885-06-29,10057.54,,,,,,,,,,,,,,,,,,,,,,,,,,,10068.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9586.43,,,,,,,,,,,,,
1885-06-30,10036.68,,,,,,,,,,,,,,,,,,,,,,,,,,,10069.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9578.75,,,,,,,,,,,,,
1885-07-01,9973.98,,,,,,,,,,,,,,,,,,,,,,,,,,,10070.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9582.27,,,,,,,,,,,,,
1885-07-02,9900.82,,,,,,,,,,,,,,,,,,,,,,,,,,,10071.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9585.79,,,,,,,,,,,,,
1885-07-03,10011.77,,,,,,,,,,,,,,,,,,,,,,,,,,,10072.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9589.31,,,,,,,,,,,,,
1885-07-06,10013.92,,,,,,,,,,,,,,,,,,,,,,,,,,,10073.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9599.87,,,,,,,,,,,,,
1885-07-07,9980.51,,,,,,,,,,,,,,,,,,,,,,,,,,,10074.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9603.4,,,,,,,,,,,,,
1885-07-08,10150.04,,,,,,,,,,,,,,,,,,,,,,,,,,,10075.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9606.92,,,,,,,,,,,,,
1885-07-09,10173.11,,,,,,,,,,,,,,,,,,,,,,,,,,,10076.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9610.44,,,,,,,,,,,,,
1885-07-10,10175.27,,,,,,,,,,,,,,,,,,,,,,,,,,,10077.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9613.96,,,,,,,,,,,,,
1885-07-13,10518.43,,,,,,,,,,,,,,,,,,,,,,,,,,,10078.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9624.52,,,,,,,,,,,,,
1885-07-14,10564.52,,,,,,,,,,,,,,,,,,,,,,,,,,,10079.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9628.04,,,,,,,,,,,,,
1885-07-15,10717.3,,,,,,,,,,,,,,,,,,,,,,,,,,,10080.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9631.56,,,,,,,,,,,,,
1885-07-16,10662.97,,,,,,,,,,,,,,,,,,,,,,,,,,,10081.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9635.08,,,,,,,,,,,,,
1885-07-17,10805.29,,,,,,,,,,,,,,,,,,,,,,,,,,,10082.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9638.6,,,,,,,,,,,,,
1885-07-20,10778.15,,,,,,,,,,,,,,,,,,,,,,,,,,,10083.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9649.16,,,,,,,,,,,,,
1885-07-21,10784.49,,,,,,,,,,,,,,,,,,,,,,,,,,,10084.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9652.68,,,,,,,,,,,,,
1885-07-22,10954.01,,,,,,,,,,,,,,,,,,,,,,,,,,,10085.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9656.2,,,,,,,,,,,,,
1885-07-23,11117.24,,,,,,,,,,,,,,,,,,,,,,,,,,,10086.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9659.72,,,,,,,,,,,,,
1885-07-24,10975.05,,,,,,,,,,,,,,,,,,,,,,,,,,,10087.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9663.24,,,,,,,,,,,,,
1885-07-27,10857.96,,,,,,,,,,,,,,,,,,,,,,,,,,,10088.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9673.8,,,,,,,,,,,,,
1885-07-28,10883.12,,,,,,,,,,,,,,,,,,,,,,,,,,,10089.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9677.32,,,,,,,,,,,,,
1885-07-29,10996.15,,,,,,,,,,,,,,,,,,,,,,,,,,,10090.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9680.84,,,,,,,,,,,,,
1885-07-30,10983.65,,,,,,,,,,,,,,,,,,,,,,,,,,,10091.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9684.36,,,,,,,,,,,,,
1885-07-31,11017.19,,,,,,,,,,,,,,,,,,,,,,,,,,,10092.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-03,10933.57,,,,,,,,,,,,,,,,,,,,,,,,,,,10093.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-04,10967.1,,,,,,,,,,,,,,,,,,,,,,,,,,,10094.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-05,10944.15,,,,,,,,,,,,,,,,,,,,,,,,,,,10095.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-06,10998.6,,,,,,,,,,,,,,,,,,,,,,,,,,,10096.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-07,11094.89,,,,,,,,,,,,,,,,,,,,,,,,,,,10097.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-10,11140.97,,,,,,,,,,,,,,,,,,,,,,,,,,,10098.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-11,11122.2,,,,,,,,,,,,,,,,,,,,,,,,,,,10099.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-12,11260.33,,,,,,,,,,,,,,,,,,,,,,,,,,,10099.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-13,11187.17,,,,,,,,,,,,,,,,,,,,,,,,,,,10100.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-14,11321.11,,,,,,,,,,,,,,,,,,,,,,,,,,,10101.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
1885-08-17,11674.7,,,,,,,,,,,,,,,,,,,,,,,,,,,10102.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9687.88,,,,,,,,,,,,,
