Date,BND,XLC,VTV
1927-03-14,,11572.2500000000,6.8737063700
1927-03-15,,11580.3100000000,6.8293586845
1927-03-16,,12057.3700000000,6.9253939796
1927-03-17,,12142.9400000000,6.9625927886
1927-03-18,,11895.1800000000,6.8926200786
1927-03-21,,11890.3800000000,6.9302317969
1927-03-22,,11866.5500000000,6.8781682550
1927-03-23,,11880.7500000000,6.8923119374
1927-03-24,,12043.4700000000,6.9310884295
1927-03-25,,12087.9900000000,6.9284815547
1927-03-28,,12293.7900000000,6.9948181982
1927-03-29,,12229.8200000000,6.9733099405
1927-03-30,,12215.1000000000,6.9356550825
1927-03-31,,12212.6100000000,6.9617053419
1927-04-01,,12202.8000000000,6.9624818578
1927-04-04,,12283.3000000000,6.9967841393
1927-04-05,,12306.5900000000,7.0194756593
1927-04-06,,12397.6100000000,7.0311973516
1927-04-07,,12583.5300000000,7.0616293793
1927-04-08,,12419.9000000000,7.0608713519
1927-04-11,,12346.6800000000,7.0468570888
1927-04-12,,12272.5600000000,7.0225016062
1927-04-13,,12262.7000000000,7.0238019621
1927-04-14,,12251.6200000000,7.0325839871
1927-04-18,,12213.6100000000,7.0286336166
1927-04-19,,12172.0400000000,7.0293485042
1927-04-20,,12161.0500000000,7.0543572463
1927-04-21,,12112.3600000000,7.0519660704
1927-04-22,,12146.2300000000,7.0553186469
1927-04-25,,12018.9700000000,6.9569353157
1927-04-26,,12048.9700000000,6.9790167161
1927-04-27,,11977.8400000000,6.9477527071
1927-04-28,,11943.0600000000,6.8785256989
1927-04-29,,11917.9400000000,6.8980556899
1927-05-02,,11969.1900000000,6.9047053776
1927-05-03,,12087.6500000000,6.9518201713
1927-05-04,,12231.4500000000,6.9966916969
1927-05-05,,12145.7800000000,7.0171522744
1927-05-06,,12157.8800000000,7.0370890119
1927-05-09,,12193.1200000000,7.0749041034
1927-05-10,,12177.2200000000,7.0794276166
1927-05-11,,12223.4500000000,7.0779608644
1927-05-12,,12183.0700000000,7.0646861403
1927-05-13,,12198.8600000000,7.0991363295
1927-05-16,,12147.5900000000,7.0617094960
1927-05-17,,12199.7800000000,7.0889738318
1927-05-18,,12211.9300000000,7.0996848209
1927-05-19,,12265.6200000000,7.1123864023
1927-05-20,,12282.7500000000,7.1573195562
1927-05-23,,12382.0500000000,7.1777493196
1927-05-24,,12431.5300000000,7.1788771165
1927-05-25,,12375.5400000000,7.1707483509
1927-05-26,,12323.5200000000,7.1925154472
1927-05-27,,12356.7500000000,7.2274463368
1927-05-31,,12353.0000000000,7.2448131764
1927-06-01,,12380.1300000000,7.2606639612
1927-06-02,,12424.6600000000,7.2546983470
1927-06-03,,12367.4600000000,7.1968417501
1927-06-06,,12379.7500000000,7.2494352948
1927-06-07,,12383.4200000000,7.2177275625
1927-06-08,,12413.0900000000,7.2506062315
1927-06-09,,12390.7100000000,7.2430567714
1927-06-10,,12347.2900000000,7.2105971745
1927-06-14,,12292.7700000000,7.1222900614
1927-06-15,,12318.5500000000,7.1640863375
1927-06-16,,12319.7300000000,7.1836656312
1927-06-17,,12335.7100000000,7.1943827831
1927-06-20,,12288.8300000000,7.1708654446
1927-06-21,,12274.0400000000,7.1436750626
1927-06-22,,12231.0300000000,7.1345972220
1927-06-23,,12219.9800000000,7.0902926763
1927-06-24,,12213.8300000000,7.0890477857
1927-06-27,,12118.5500000000,7.0189887962
1927-06-28,,12129.4200000000,7.0327503834
1927-06-29,,12097.8400000000,7.0263102317
1927-06-30,,12084.4900000000,7.0246031293
1927-07-01,,12164.2000000000,7.0664425453
1927-07-05,,12277.3800000000,7.1448213480
1927-07-06,,12283.4800000000,7.1779403671
1927-07-07,,12229.3900000000,7.1701752082
1927-07-08,,12208.5500000000,7.1558528039
1927-07-11,,12230.4600000000,7.1789017678
1927-07-12,,12300.1300000000,7.2216471189
1927-07-13,,12318.5400000000,7.2724719330
1927-07-14,,12408.4200000000,7.2861410779
1927-07-15,,12479.1000000000,7.2937953060
1927-07-18,,12452.8600000000,7.3079266627
1927-07-19,,12383.0800000000,7.3327258687
1927-07-20,,12449.9100000000,7.3484410714
1927-07-21,,12417.4900000000,7.3363557724
1927-07-22,,12402.5500000000,7.3400411415
1927-07-25,,12396.2900000000,7.3726917860
1927-07-26,,12427.2400000000,7.3853255763
1927-07-27,,12408.5500000000,7.3989022788
1927-07-28,,12397.3400000000,7.4310414089
1927-07-29,,12492.7500000000,7.4684251027
1927-08-01,,12507.6100000000,7.5599245589
1927-08-02,,12537.5800000000,7.5996809401
1927-08-03,,12499.9200000000,7.5248026217
1927-08-04,,12527.3800000000,7.5832570126
1927-08-05,,12577.4400000000,7.5509145094
1927-08-08,,12557.2700000000,7.4513479158
1927-08-09,,12690.3300000000,7.5264296074
1927-08-10,,12689.0200000000,7.5526154489
1927-08-11,,12574.7700000000,7.5018091233
1927-08-12,,12496.7600000000,7.3929243390
1927-08-15,,12614.4500000000,7.5404870102
1927-08-16,,12635.8500000000,7.5841629478
1927-08-17,,12663.6100000000,7.5983744213
1927-08-18,,12631.9000000000,7.6106630934
1927-08-19,,12597.7500000000,7.6054801580
1927-08-22,,12674.6400000000,7.6415943099
1927-08-23,,12664.4600000000,7.6592816164
1927-08-24,,12634.0200000000,7.6572602099
1927-08-25,,12626.3900000000,7.6485336503
1927-08-26,,12607.4100000000,7.6534762356
1927-08-29,,12582.1600000000,7.6466108491
1927-08-30,,12555.6900000000,7.6419948935
1927-08-31,,12588.2900000000,7.5914535693
1927-09-01,,12602.1000000000,7.6487246979
1927-09-02,,12624.7300000000,7.7035984878
1927-09-06,,12716.9400000000,7.8076084778
1927-09-07,,12756.3200000000,7.8611141206
1927-09-08,,12788.1600000000,7.8628458743
1927-09-09,,12781.7300000000,7.8482769571
