Date,SPMOSIM
1973-08-15,10967.1000000000
1973-08-16,10860.6900000000
1973-08-17,10858.7400000000
1973-08-20,10787.2300000000
1973-08-21,10685.7700000000
1973-08-22,10654.1900000000
1973-08-23,10800.8200000000
1973-08-24,10761.8700000000
1973-08-27,10857.4600000000
1973-08-28,10931.4700000000
1973-08-29,11063.1800000000
1973-08-30,11011.6000000000
1973-08-31,11042.8000000000
1973-09-04,11024.9700000000
1973-09-05,11025.1300000000
1973-09-06,11076.1600000000
1973-09-07,11031.3900000000
1973-09-10,10929.3700000000
1973-09-11,10859.6500000000
1973-09-12,10849.4500000000
1973-09-13,10873.7000000000
1973-09-14,11007.6600000000
1973-09-17,10951.7200000000
1973-09-18,10894.7700000000
1973-09-19,11128.5600000000
1973-09-20,11225.7400000000
1973-09-21,11251.0900000000
1973-09-24,11242.8000000000
1973-09-25,11270.3600000000
1973-09-26,11332.6700000000
1973-09-27,11399.3400000000
1973-09-28,11333.0700000000
1973-10-01,11313.9100000000
1973-10-02,11377.9800000000
1973-10-03,11398.1500000000
1973-10-04,11325.9200000000
1973-10-05,11447.3400000000
1973-10-08,11513.1000000000
1973-10-09,11489.9700000000
1973-10-10,11397.7600000000
1973-10-11,11635.1200000000
1973-10-12,11701.0600000000
1973-10-15,11580.3900000000
1973-10-16,11604.9100000000
1973-10-17,11648.8600000000
1973-10-18,11670.5400000000
1973-10-19,11700.7500000000
1973-10-22,11611.7200000000
1973-10-23,11684.2800000000
1973-10-24,11761.4300000000
1973-10-25,11817.3100000000
1973-10-26,11934.1400000000
1973-10-29,11957.1600000000
1973-10-30,11779.0900000000
1973-10-31,11689.8500000000
1973-11-01,11686.2900000000
1973-11-02,11657.3100000000
1973-11-05,11504.9000000000
1973-11-06,11440.7900000000
1973-11-07,11522.9500000000
1973-11-08,11666.8700000000
1973-11-09,11561.4000000000
1973-11-12,11494.6600000000
1973-11-13,11539.7200000000
1973-11-14,11389.9900000000
1973-11-15,11414.7900000000
1973-11-16,11545.0300000000
1973-11-19,11196.6500000000
1973-11-20,10988.9100000000
1973-11-21,11113.5900000000
1973-11-23,11118.5100000000
1973-11-26,10789.7600000000
1973-11-27,10734.5800000000
1973-11-28,10982.4900000000
1973-11-29,10955.5300000000
1973-11-30,10849.9600000000
